MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1559000820000	1.6581	1.6581	1.6581	1.6581	270.04160168
1559001120000	1.6598	1.6598	1.6598	1.6598	152.32999054
1559002500000	1.6486	1.6486	1.6486	1.6486	18.0
1559003100000	1.6477	1.6477	1.6477	1.6477	2.24022104
1559004360000	1.6478	1.6478	1.6478	1.6478	181.4234
1559004420000	1.6478	1.6478	1.6478	1.6478	536.8754
1559004480000	1.6478	1.6468	1.6478	1.6468	185.4803
1559004600000	1.6431	1.6431	1.6431	1.6431	14.0
1559004660000	1.6431	1.643	1.6431	1.643	490.02
1559004720000	1.643	1.6321	1.643	1.6321	1253.70622327
1559005020000	1.6321	1.6321	1.6321	1.6321	597.9356401699999
1559009160000	1.6512	1.6512	1.6512	1.6512	76.95889314
1559014080000	1.6551	1.6551	1.6551	1.6551	300.0
1559014620000	1.6587	1.6587	1.6587	1.6587	90.59964982
1559017440000	1.6499	1.65	1.65	1.6499	293.5532884
1559017620000	1.64	1.6331	1.64	1.6331	3533.24049808
1559025180000	1.6262	1.6262	1.6262	1.6262	74.22764029
1559026140000	1.6262	1.6262	1.6262	1.6262	100.0
1559026860000	1.6262	1.6262	1.6262	1.6262	133.0128
1559026920000	1.6261	1.6261	1.6261	1.6261	62.0
1559027100000	1.6261	1.6261	1.6261	1.6261	2275.77014538
1559027160000	1.6261	1.6239	1.6261	1.6239	1067.0
1559027640000	1.6239	1.6238	1.6239	1.6238	2000.0
1559027760000	1.6238	1.6238	1.6238	1.6238	2095.22985462
1559027880000	1.6198	1.6198	1.6198	1.6198	279.39203007000003
1559028240000	1.6198	1.6198	1.6198	1.6198	217.24743862
1559029740000	1.6386	1.6386	1.6386	1.6386	9.0
1559030400000	1.6454	1.6454	1.6454	1.6454	3.50950682
1559031720000	1.6245	1.6245	1.6245	1.6245	111.2726728
1559032260000	1.6216	1.6215	1.6216	1.6215	229.96885663
1559032740000	1.6293	1.6293	1.6293	1.6293	150.01661125
1559032920000	1.6296	1.6296	1.6296	1.6296	224.97123733
1559033760000	1.6273	1.6273	1.6273	1.6273	45.346
1559033820000	1.6197	1.6211	1.6211	1.6191	2893.29989866
1559033940000	1.6227	1.6227	1.6227	1.6227	24.662
1559034480000	1.6362	1.6362	1.6362	1.6362	20.0
1559034960000	1.6216	1.6212	1.6216	1.6212	210.32862529
1559035200000	1.621	1.621	1.621	1.621	11.12742896
1559035320000	1.617	1.617	1.617	1.617	346.76195031
1559035380000	1.617	1.617	1.617	1.617	250.6410774
1559035980000	1.61	1.61	1.61	1.61	258.31996352
1559036100000	1.61	1.61	1.61	1.61	35.873488
1559036280000	1.61	1.61	1.61	1.61	49.9
1559037360000	1.6104	1.6103	1.6104	1.6103	34.3318
1559038560000	1.61	1.61	1.61	1.61	569.58420353
1559039280000	1.6101	1.61	1.6101	1.61	292.52099464
1559039340000	1.6101	1.61	1.6101	1.61	556.10334862
1559039460000	1.61	1.61	1.61	1.61	187.28825776
1559039580000	1.6101	1.6101	1.6101	1.6101	69.86
1559039880000	1.61	1.61	1.61	1.61	569.58420353
1559039940000	1.61	1.6003	1.61	1.6003	5000.0
1559040000000	1.6003	1.6	1.6003	1.6	9668.70332129
1559040060000	1.6	1.6	1.6	1.6	202.39070477
1559040840000	1.6003	1.6003	1.6003	1.6003	19.96
1559042940000	1.608	1.608	1.608	1.608	5.8816538
1559043660000	1.6066	1.6066	1.6066	1.6066	25.18721014
1559045460000	1.6056	1.6056	1.6056	1.6056	55.54562533
1559045880000	1.6064	1.6056	1.6064	1.6056	1187.811
1559046780000	1.6149	1.6241	1.6241	1.6149	1007.53782874
1559046840000	1.6217	1.6217	1.6217	1.6217	3.0
1559047920000	1.6055	1.6055	1.6055	1.6055	279.52843352
1559048160000	1.6051	1.6051	1.6051	1.6051	188.59158892
1559050200000	1.606	1.603	1.606	1.5952	4005.0
1559050260000	1.603	1.603	1.603	1.603	82.25582857
1559050320000	1.6029	1.5953	1.6029	1.5953	249.63552518
1559050380000	1.603	1.6042	1.6042	1.603	238.95426748
1559050560000	1.6053	1.6053	1.6053	1.6053	155.74383254
1559050680000	1.606	1.606	1.606	1.606	141.668183
1559050800000	1.6058	1.6058	1.6058	1.6058	141.60433
1559052240000	1.623	1.623	1.623	1.623	100.0
1559052960000	1.623	1.6353	1.6353	1.623	2204.25671529
1559053800000	1.6384	1.6374	1.6384	1.6372	2037.7779332
1559054640000	1.6283	1.6225	1.6283	1.6225	237.95573704
1559054760000	1.617	1.617	1.617	1.617	293.72720155
1559057460000	1.609	1.6089	1.609	1.6089	214.56838763000002
1559058180000	1.609	1.6089	1.609	1.6089	189.86140117
1559058480000	1.6378	1.6378	1.6378	1.6378	14.25763893
1559058840000	1.6237	1.6237	1.6237	1.6236	257.3075636
1559059740000	1.6286	1.6286	1.6286	1.6286	40.75773243
1559061120000	1.6088	1.6088	1.6088	1.6088	57.0153535
1559061300000	1.6299	1.6299	1.6299	1.6299	50.0
1559061780000	1.6091	1.6049	1.6091	1.6049	569.58420353
1559062020000	1.605	1.605	1.605	1.605	188.98652368
1559062080000	1.6049	1.6049	1.6049	1.6049	167.98802105
1559062500000	1.5951	1.5931	1.5951	1.5931	244.7397193
1559063280000	1.61	1.61	1.61	1.61	30.0
1559064000000	1.61	1.61	1.61	1.61	596.0
1559064120000	1.61	1.61	1.61	1.61	38.38274653
1559064180000	1.6109	1.6109	1.6109	1.6109	12.96617162
1559064480000	1.61	1.61	1.61	1.61	110.0113225
1559064540000	1.6045	1.605	1.605	1.5963	362.39199282000004
1559064600000	1.6019	1.6019	1.6019	1.6018	146.87630000000001
1559064780000	1.6065	1.6065	1.6065	1.6065	17.1145
1559064840000	1.6085	1.6085	1.6085	1.6085	80.0
1559064900000	1.6081	1.6082	1.6082	1.6081	50.0
1559065560000	1.6117	1.6002	1.6117	1.6002	214.1553576
1559065860000	1.6012	1.6011	1.6012	1.6011	451.39553679
1559065920000	1.6012	1.6012	1.6012	1.6012	28.0
1559065980000	1.6012	1.5959	1.6012	1.5959	2000.0
1559066520000	1.6061	1.6061	1.6061	1.6061	45.92239391
1559066580000	1.5954	1.5954	1.5954	1.5954	356.0
1559067240000	1.6	1.6	1.6	1.6	218.0
1559067600000	1.6	1.6	1.6	1.6	772.0
1559067900000	1.6	1.6	1.6	1.6	257.0
1559068380000	1.6061	1.6061	1.6061	1.6061	10.0
1559068500000	1.6	1.598	1.6	1.598	1529.26176543
1559068560000	1.5933	1.5884	1.5933	1.5884	213.49024355
1559068620000	1.5944	1.5944	1.5944	1.5944	45.0
1559068980000	1.6062	1.6071	1.6071	1.6062	10.28018007
1559071920000	1.5904	1.5875	1.5904	1.5875	189.86140117
1559072040000	1.605	1.605	1.605	1.605	2.41172965
1559072640000	1.5876	1.5876	1.5876	1.5876	87.40248118
1559073000000	1.5876	1.5876	1.5876	1.5876	199.86975214
1559073360000	1.5875	1.585	1.5875	1.585	1256.96254195
1559073900000	1.599	1.599	1.599	1.599	2.69364566
1559074020000	1.5851	1.585	1.5851	1.585	172.66066715
1559076000000	1.5851	1.5851	1.5851	1.5851	241.27876995
1559076420000	1.6024	1.6024	1.6024	1.6024	10.72462742
1559077020000	1.6041	1.6041	1.6041	1.6041	100.0
1559077980000	1.6023	1.6023	1.6023	1.6023	130.0
1559078040000	1.59	1.59	1.59	1.59	138.96162078
1559078400000	1.5997	1.5999	1.5999	1.5997	200.0
1559078520000	1.5901	1.5901	1.5901	1.5901	5.80503855
1559078700000	1.59	1.59	1.59	1.59	29.71039275
1559078940000	1.6	1.602	1.602	1.6	100.0
1559079780000	1.6078	1.6078	1.6078	1.6078	100.2
1559080320000	1.6074	1.5886	1.6074	1.5886	1591.28392074
1559080380000	1.5874	1.5874	1.5874	1.5874	240.48138312
1559080500000	1.5874	1.5874	1.5874	1.5874	213.78794959
1559080680000	1.5874	1.585	1.5874	1.585	401.73649187
1559080740000	1.5874	1.5874	1.5874	1.5874	42.52175291
1559081100000	1.6015	1.6015	1.6015	1.6015	115.0
1559081400000	1.5874	1.585	1.5874	1.585	243.44982624
1559082060000	1.5862	1.585	1.5862	1.585	301.00707477
1559082480000	1.6002	1.6002	1.6002	1.6002	12.11874447
1559083320000	1.59	1.5851	1.59	1.5851	67.65169165
1559083440000	1.585	1.5801	1.585	1.58	432.64864793
1559083680000	1.5801	1.5801	1.5801	1.5801	8.473992
1559084100000	1.58	1.58	1.58	1.58	83.35354526
1559084700000	1.595	1.595	1.595	1.595	268.14697019
1559086200000	1.6046	1.6046	1.6046	1.6046	33.61462209
1559086440000	1.5897	1.5897	1.5897	1.5897	526.40383749
1559086980000	1.5847	1.5847	1.5847	1.5847	50.0
1559087160000	1.595	1.595	1.595	1.595	1609.58252898
1559087220000	1.595	1.5949	1.595	1.5949	235.92876931
1559087280000	1.595	1.5949	1.595	1.5949	207.74490965
1559087340000	1.5931	1.5931	1.5931	1.5931	187.8028126
1559087400000	1.5949	1.5949	1.5949	1.5949	2.0
1559087640000	1.59	1.59	1.59	1.59	2.0
1559087940000	1.5901	1.5901	1.5901	1.5901	461.55132024
1559088360000	1.59	1.59	1.59	1.59	2.0
1559088480000	1.5901	1.5901	1.5901	1.5901	247.16858233
1559088540000	1.59	1.5893	1.59	1.5893	4.0
1559090160000	1.5801	1.5777	1.5801	1.5777	532.0
1559091300000	1.58	1.58	1.58	1.58	2.0
1559092020000	1.58	1.58	1.58	1.58	2.0
1559094840000	1.5929	1.5929	1.5929	1.5929	285.10060518
1559095020000	1.5777	1.576	1.5777	1.576	171.28757326
1559097060000	1.57	1.57	1.57	1.57	187.69049221
1559106060000	1.5722	1.5658	1.5722	1.5658	414.79290714
1559106120000	1.5725	1.572	1.5725	1.5719	189.86140116
1559106180000	1.5733	1.5736	1.5736	1.5733	199.37616125
1559106240000	1.5738	1.5738	1.5738	1.5738	50.905
1559109000000	1.5783	1.5775	1.58	1.5775	4566.99877391
1559109060000	1.5783	1.5749	1.5783	1.5739	4179.71487439
1559109120000	1.5714	1.5714	1.5714	1.5714	223.86142757
