MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1370607780000	2.76	2.76	2.76	2.76	12.318
1370617020000	2.71	2.71	2.71	2.71	25.0
1370628360000	2.68	2.62	2.68	2.62	14.698100000000002
1370628720000	2.62	2.97	2.97	2.62	1.0
1370665920000	2.62	2.611	2.62	2.611	1.0
1370665980000	2.611	2.611	2.611	2.611	1.2
1370669040000	2.61	2.61	2.61	2.61	1.0
1370669100000	2.61	2.61	2.61	2.61	5.8
1370672760000	2.61	2.6	2.61	2.6	197.26816300000002
1370761980000	2.6	2.6	2.6	2.6	175.53
1370762580000	2.6	2.55	2.6	2.55	98.47
1370766600000	2.55	2.55	2.55	2.55	196.0
1370768040000	2.55	2.5	2.55	2.5	320.11128426
1370768940000	2.5	2.5	2.5	2.5	60.0
1370769420000	2.5	2.42	2.5	2.42	35.640552740000004
1370769900000	2.39	2.37	2.39	2.37	35.0
1370769960000	2.36	2.31	2.36	2.31	44.9
1370827680000	2.5011	2.5	2.5011	2.5	25.5
1370828580000	2.45	2.45	2.45	2.45	30.62
1370834880000	2.45	2.45	2.45	2.45	28.0
1370858220000	2.45	2.45	2.45	2.45	5.5
1370868960000	2.45	2.45	2.45	2.45	5.8844
1370870700000	2.45	2.45	2.45	2.45	29.9956
1370891820000	2.25	2.25	2.25	2.25	0.2
1370934300000	2.55	2.55	2.55	2.55	51.25
1370937540000	2.55	2.55	2.55	2.55	4.0
1370957940000	2.31	2.31	2.31	2.31	2.0
1370958000000	2.31	2.31	2.31	2.31	5.0
1370992620000	2.4599	2.4599	2.4599	2.4599	50.0
1371011160000	2.3611	2.3611	2.3611	2.3611	0.33
1371011460000	2.35	2.35	2.35	2.35	3.2095000000000002
1371025260000	2.5	2.5	2.5	2.5	1.3484903499999998
1371061920000	2.5	2.5	2.5	2.5	49.65
1371071700000	2.35	2.35	2.35	2.35	0.99
1371085620000	2.35	2.35	2.35	2.35	1.2005
1371085800000	2.25	2.25	2.25	2.25	2.3573
1371107340000	2.5	2.5	2.5	2.5	2.0
1371107400000	2.5	2.5	2.5	2.5	2.0
1371107460000	2.5	2.56	2.56	2.5	2.0
1371107580000	2.56	2.98	2.98	2.56	10.0
1371107640000	2.98	2.98	2.98	2.98	25.0
1371107700000	2.98	2.98	2.98	2.98	3.4
1371137460000	2.25	2.25	2.25	2.25	3.9708
1371153900000	2.4	2.4	2.4	2.4	1.0
1371162480000	2.4	2.4	2.4	2.4	49.0
