MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1491800040000	1219.2	1219.2	1219.2	1219.1	2.349144
1491800100000	1219.2	1219.2	1219.2	1219.1	1.6441177200000001
1491800160000	1219.2	1219.2	1219.2	1219.1	0.15778238
1491800220000	1219.2	1219.1	1219.2	1219.1	2.2919544000000003
1491800280000	1219.2	1219.2	1219.2	1219.1	0.7834639999999999
1491800340000	1219.2	1219.2	1219.2	1219.1	0.8679590700000002
1491800400000	1219.1	1219.2	1219.2	1219.1	5.04321647
1491800460000	1219.2	1219.1	1219.2	1219.1	0.54716872
1491800520000	1219.1	1219.1	1219.1	1219.1	0.03215717
1491800580000	1219.1	1219.1	1219.1	1219.1	0.294
1491800640000	1219.2	1219.1	1219.2	1219.1	5.6772095799999995
1491800700000	1219.1	1219.2	1219.2	1219.1	1.3289717300000001
1491800760000	1219.1	1219.1	1219.2	1219.1	4.5691929899999995
1491800820000	1219.2	1219.1	1219.2	1219.0	8.497652599999999
1491800880000	1219.1	1219.0	1219.1	1219.0	4.98995632
1491800940000	1219.1	1219.1	1219.1	1219.0	4.22703628
1491801000000	1219.0	1219.0	1219.1	1219.0	0.056
1491801060000	1219.1	1219.1	1219.1	1219.0	0.94304023
1491801120000	1219.0	1219.0	1219.0	1219.0	0.02
1491801180000	1219.0	1219.0	1219.0	1219.0	5.622102849999999
1491801240000	1219.0	1219.0	1219.1	1219.0	0.26140878
1491801300000	1219.0	1219.0	1219.1	1219.0	1.6095102600000002
1491801360000	1219.0	1219.0	1219.1	1219.0	0.39287631
1491801420000	1219.0	1219.0	1219.1	1219.0	4.25299399
1491801480000	1219.0	1219.0	1219.1	1219.0	1.46992157
1491801540000	1219.0	1219.0	1219.0	1219.0	0.01
1491801600000	1219.0	1219.0	1219.1	1219.0	3.88270299
1491801660000	1219.1	1219.0	1219.1	1219.0	1.1305
1491801720000	1219.1	1219.1	1219.1	1219.0	3.0591703399999997
1491801780000	1219.1	1219.1	1219.1	1219.0	19.510916530000006
1491801840000	1219.0	1219.0	1219.1	1219.0	4.58707673
1491801900000	1219.1	1219.1	1219.1	1219.0	5.558547819999999
1491801960000	1219.1	1219.1	1219.1	1219.0	3.30896928
1491802020000	1219.0	1219.1	1219.1	1219.0	11.30743751
1491802080000	1219.1	1219.1	1219.1	1219.0	15.37690013
1491802140000	1219.1	1219.0	1219.1	1219.0	1.30380589
1491802200000	1219.1	1219.1	1219.1	1219.1	0.0479
1491802260000	1219.1	1219.1	1219.1	1219.1	2.09271187
1491802320000	1219.1	1217.7	1219.1	1217.6	5.2366727200000005
1491802380000	1217.7	1217.7	1217.7	1217.7	2.7651
1491802440000	1217.7	1217.7	1217.7	1217.7	1.5971475000000002
1491802500000	1217.7	1217.8	1217.8	1217.7	0.57639728
1491802560000	1217.8	1217.7	1217.8	1217.7	0.28948729
1491802680000	1217.8	1217.8	1217.8	1217.8	1.3614624
1491802740000	1217.8	1217.8	1217.8	1217.8	0.51837634
1491802800000	1217.8	1217.8	1217.8	1217.8	0.7182999999999999
1491802860000	1217.8	1217.7	1217.8	1217.7	1.7114908000000002
1491802920000	1217.8	1217.8	1217.8	1217.8	1.1155
1491802980000	1217.8	1217.8	1217.8	1217.7	5.41503183
1491803040000	1217.8	1217.9	1217.9	1217.7	8.12139287
1491803100000	1217.9	1217.6	1217.9	1217.5	18.697720769999997
1491803160000	1217.6	1217.6	1217.6	1217.5	8.70400452
1491803220000	1217.6	1217.7	1217.7	1217.6	1.04022
1491803280000	1217.7	1216.5	1217.7	1216.1	7.03393
1491803340000	1216.4	1216.3	1216.4	1216.3	8.19572998
1491803400000	1216.3	1216.3	1216.4	1216.1	6.032680709999999
1491803460000	1216.3	1216.2	1216.3	1216.2	2.5524
1491803520000	1216.2	1216.2	1216.2	1216.1	2.18196811
1491803580000	1216.2	1216.2	1216.2	1216.1	1.4910333699999998
1491803640000	1216.2	1216.2	1216.2	1216.2	2.8447544700000003
1491803700000	1216.2	1215.6	1216.2	1215.6	8.93266435
1491803760000	1215.6	1215.6	1215.6	1215.5	2.73486281
1491803820000	1215.6	1215.1	1215.6	1215.0	18.80625518
1491803880000	1215.1	1215.0	1215.1	1215.0	20.1576
1491803940000	1215.1	1215.1	1215.1	1215.1	6.55953954
1491804000000	1215.0	1214.5	1215.0	1214.5	21.212960089999996
1491804060000	1214.5	1214.5	1214.5	1214.5	4.180465
1491804120000	1214.5	1214.4	1214.5	1214.4	1.59036257
1491804240000	1214.4	1214.3	1214.4	1214.3	1.1
1491804300000	1214.3	1214.1	1214.3	1214.1	3.3600655100000005
1491804360000	1214.2	1214.1	1214.6	1214.1	2.97095047
1491804420000	1214.4	1214.1	1214.4	1214.0	23.74092116
1491804480000	1214.3	1214.3	1214.3	1214.3	0.18049024
1491804540000	1214.3	1214.4	1214.4	1214.3	0.66437445
1491804600000	1214.3	1214.6	1214.6	1214.3	0.09047388
1491804660000	1214.3	1214.0	1214.3	1214.0	2.8320188099999997
1491804720000	1214.1	1214.0	1214.4	1214.0	8.99608387
1491804780000	1214.1	1214.0	1214.1	1214.0	1.8453000000000002
1491804840000	1214.0	1213.4	1214.2	1213.2	19.077887520000004
1491804900000	1213.2	1213.3	1213.3	1213.2	2.83374059
1491804960000	1213.3	1213.4	1213.5	1213.2	11.386669560000003
1491805020000	1213.4	1213.7	1214.6	1213.4	25.511309259999997
1491805080000	1213.7	1213.5	1213.7	1213.3	4.66155428
1491805140000	1213.3	1213.7	1213.7	1213.3	6.759629399999997
1491805200000	1213.4	1213.7	1213.7	1213.1	9.26045118
1491805260000	1213.7	1213.1	1214.1	1213.1	4.75496389
1491805320000	1213.3	1213.6	1213.6	1213.1	0.91504511
1491805380000	1213.7	1213.7	1213.7	1213.7	0.23226825
1491805440000	1213.7	1214.6	1214.6	1213.1	3.04145287
1491805500000	1213.0	1211.2	1213.3	1210.2	309.26127587
1491805560000	1211.2	1211.2	1211.2	1210.0	55.42636799
1491805620000	1211.2	1210.5	1211.2	1210.5	0.46890204
1491805680000	1210.5	1211.2	1211.2	1210.5	21.60741217
1491805740000	1211.2	1212.3	1212.3	1211.1	46.677846859999995
1491805800000	1212.5	1215.1	1215.1	1212.5	133.80825889999997
1491805860000	1215.3	1215.9	1215.9	1215.3	24.94505375
