MTS	OPEN	CLOSE	HIGH	LOW	VOLUME
1376600460000	97.99	97.99	97.99	97.99	2.7
1376600580000	97.99	97.99	97.99	97.99	7.446126810000001
1376600640000	98.0	98.0	98.0	98.0	0.98510177
1376601300000	98.06	98.06	98.06	98.06	2.0
1376601840000	98.21	98.13	98.21	97.92	1.0
1376601900000	98.12	98.03	98.12	98.03	3.0
1376602080000	98.02	98.01	98.02	98.01	2.0
1376602140000	98.03	98.03	98.03	98.03	1.0
1376602380000	98.0	98.23	98.23	98.0	0.2
1376602440000	98.23	98.23	98.23	98.23	2.0
1376602740000	98.39	98.39	98.39	98.39	0.7
1376602800000	98.23	98.23	98.23	98.23	100.0
1376608140000	97.5	97.5	97.5	97.5	20.0
1376609400000	98.0	98.0	98.0	98.0	1.0
1376610600000	98.12	98.12	98.12	98.12	1.0
1376611080000	98.11	98.08	98.11	98.08	4.07926201
1376611860000	98.39	98.39	98.39	98.39	3.92733
1376611920000	98.1	98.1	98.1	98.1	1.0
1376611980000	98.09	98.14	98.48	98.08	39.07267
1376612040000	98.18	98.18	98.18	98.18	1.0
1376613240000	98.17	98.16	98.17	98.16	2.0
1376613840000	98.19	98.19	98.19	98.19	1.0
1376615220000	98.2	98.19	98.2	98.19	4.1
1376616420000	98.46	98.46	98.46	98.46	2.0807542
1376616480000	98.46	98.46	98.46	98.46	4.2e-06
1376616600000	98.46	98.46	98.46	98.46	0.9392416
1376618580000	98.54	98.54	98.54	98.54	0.3914676
1376619420000	98.46	98.24	98.46	98.24	1.0
1376619600000	98.44	98.44	98.44	98.44	1.0
1376620860000	98.21	98.21	98.21	98.21	3.11128846
1376621280000	98.07	98.01	98.07	98.01	17.9129102
1376621460000	98.0	98.0	98.0	98.0	4.0
1376621760000	97.82	97.81	97.82	97.81	27.318690999999998
1376621820000	97.78	97.69	97.78	97.69	44.01319
1376621880000	97.7	97.7	97.7	97.7	5.98681
1376622480000	98.0	98.0	98.0	98.0	0.2772149
1376622540000	98.0	98.0	98.0	98.0	0.2772149
1376629920000	96.71	96.71	96.71	96.71	1.0
1376629980000	96.71	96.71	96.71	96.71	1.73
1376630160000	97.3	97.1	97.3	97.1	31.0
1376630220000	97.01	97.0	97.01	97.0	20.0
1376630700000	97.28	97.28	97.28	97.28	0.5
1376630760000	97.45166	97.45166	97.45166	97.45166	0.5
1376630940000	97.19	97.19	97.19	97.19	1.0
1376631240000	96.6	96.6	96.6	96.6	10.0
1376631720000	97.29146	97.29146	97.29146	97.29146	0.5
1376632140000	96.65	96.7	96.7	96.65	2.5
1376632200000	97.12	96.65	97.12	96.65	1.2
1376633880000	97.37	97.37	97.37	97.37	1.0
